Comment,Designator,Footprint,LCSC
"100n","C101,C102,C103,C104,C105,C106,C107,C108,C109,C117","Capacitor_SMD:C_0402_1005Metric","C1525"
"15p","C118,C119","Capacitor_SMD:C_0402_1005Metric","C1548"
"1u","C15,C16,C110,C113","Capacitor_SMD:C_0402_1005Metric","C52923"
"22","R1,R2","Resistor_SMD:R_0402_1005Metric","C102906"
"27","R103,R104","Resistor_SMD:R_0402_1005Metric","C138021"
"10k","R105","Resistor_SMD:R_0402_1005Metric","C25744"
"1k","R106,R107","Resistor_SMD:R_0402_1005Metric","C11702"
"SW_Push","SW102","Button_Switch_SMD:SW_SPST_B3U-1000P","C231329"
"RP2040","U103","RP2040:RP2040-QFN-56","C2040"
"W25Q128JVS","U105","USON:8-USON","C2843335"
"TLV73333PDBV","U4","SOT-23-5:SOT-23-5","C134139"
"USB_A","USB1","Type-A:C42459","C42459"
"USB_A","USB2","Type-A:C98125","C98125"
"Crystal_GND24","Y101","Crystal:Crystal_SMD_2520-4Pin_2.5x2.0mm","C90603"
